PLAYER,TEAM,SEASON,PTS,AST,REB,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,GP,MIN,ROLE
LeBron James,CLE,2008-09,28.4,7.2,7.6,1.7,1.1,48.9,34.4,78.0,3.0,81,37.7,MVP
Kobe Bryant,LAL,2008-09,26.8,4.9,5.2,1.5,0.5,46.7,35.1,85.6,2.6,82,36.1,Runner-Up
LeBron James,CLE,2009-10,29.7,8.6,7.3,1.6,1.0,50.3,33.3,76.7,3.4,76,39.0,MVP
Kevin Durant,OKC,2009-10,30.1,2.8,7.6,1.4,1.0,47.6,36.5,90.0,3.3,82,39.5,Runner-Up
Derrick Rose,CHI,2010-11,25.0,7.7,4.1,1.0,0.6,44.5,33.2,85.8,3.4,81,37.4,MVP
Dwight Howard,ORL,2010-11,22.9,1.4,14.1,1.4,2.4,59.3,0.0,59.6,3.6,78,37.6,Runner-Up
LeBron James,MIA,2011-12,27.1,6.2,7.9,1.9,0.8,53.1,36.2,77.1,3.4,62,37.5,MVP
Kevin Durant,OKC,2011-12,28.0,3.5,8.0,1.3,1.2,49.6,38.7,86.0,3.8,66,38.6,Runner-Up
LeBron James,MIA,2012-13,26.8,7.2,8.0,1.7,0.9,56.5,40.6,75.3,3.0,76,37.9,MVP
Kevin Durant,OKC,2012-13,28.1,4.6,7.9,1.4,1.3,51.0,41.6,90.5,3.5,81,38.5,Runner-Up
Kevin Durant,OKC,2013-14,32.0,5.5,7.4,1.3,0.7,50.3,39.1,87.3,3.5,81,38.5,MVP
LeBron James,MIA,2013-14,27.1,6.3,6.9,1.6,0.3,56.7,37.9,75.0,3.5,77,37.7,Runner-Up
Stephen Curry,GSW,2014-15,23.8,7.7,4.3,2.0,0.2,48.7,44.3,91.4,3.1,80,32.7,MVP
James Harden,HOU,2014-15,27.4,7.0,5.7,1.9,0.7,44.0,37.5,86.8,4.0,81,36.8,Runner-Up
Stephen Curry,GSW,2015-16,30.1,6.7,5.4,2.1,0.2,50.4,45.4,90.8,3.3,79,34.2,MVP
Kawhi Leonard,SAS,2015-16,21.2,2.6,6.8,1.8,1.0,50.6,44.3,87.4,1.5,72,33.1,Runner-Up
Russell Westbrook,OKC,2016-17,31.6,10.4,10.7,1.6,0.4,42.5,34.3,84.5,5.4,81,34.6,MVP
James Harden,HOU,2016-17,29.1,11.2,8.1,1.5,0.5,44.0,34.7,84.7,5.7,81,36.4,Runner-Up
James Harden,HOU,2017-18,30.4,8.8,5.4,1.8,0.7,44.9,36.7,85.8,4.4,72,35.4,MVP
LeBron James,CLE,2017-18,27.5,9.1,8.6,1.4,0.9,54.2,36.7,73.1,4.2,82,36.9,Runner-Up
Giannis Antetokounmpo,MIL,2018-19,27.7,5.9,12.5,1.3,1.5,57.8,25.6,72.9,3.7,72,32.8,MVP
James Harden,HOU,2018-19,36.1,7.5,6.6,2.0,0.7,44.2,36.8,87.9,5.0,78,36.8,Runner-Up
Giannis Antetokounmpo,MIL,2019-20,29.5,5.6,13.6,1.0,1.0,55.3,30.4,63.3,3.7,63,30.4,MVP
LeBron James,LAL,2019-20,25.3,10.2,7.8,1.2,0.5,49.3,34.8,69.3,3.9,67,34.6,Runner-Up
Nikola Jokić,DEN,2020-21,26.4,8.3,10.8,1.3,0.7,56.6,38.8,86.8,3.1,72,34.6,MVP
Joel Embiid,PHI,2020-21,28.5,2.8,10.6,1.0,1.4,51.3,37.7,85.9,3.1,51,31.1,Runner-Up
Nikola Jokić,DEN,2021-22,27.1,7.9,13.8,1.5,0.9,58.3,33.7,81.0,3.8,74,33.5,MVP
Joel Embiid,PHI,2021-22,30.6,4.2,11.7,1.1,1.5,49.9,37.1,81.4,3.1,68,33.8,Runner-Up
Joel Embiid,PHI,2022-23,33.1,4.2,10.2,1.0,1.7,54.8,33.0,85.7,3.4,66,34.6,MVP
Nikola Jokić,DEN,2022-23,24.5,9.8,11.8,1.3,0.7,63.2,38.3,82.2,3.6,69,33.7,Runner-Up
Nikola Jokić,DEN,2023-24,26.4,9.0,12.4,1.4,0.9,58.3,35.9,81.7,3.0,79,34.6,MVP
Shai Gilgeous-Alexander,OKC,2023-24,30.1,6.2,5.5,2.0,0.9,53.5,35.3,87.4,2.2,75,34.0,Runner-Up
Shai Gilgeous-Alexander,OKC,2024-25,32.7,6.4,5.0,1.7,1.0,51.9,37.5,89.8,2.4,76,34.2,MVP
Nikola Jokić,DEN,2024-25,29.6,10.2,12.7,1.8,0.6,57.6,41.7,80.0,3.3,70,36.7,Runner-Up
